[20:15:02] [INFO] Loaded script startup_scripts:framedblocks/constants.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:greate/constants.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:gtceu/constants.js in 0.002 s
[20:15:02] [INFO] Loaded script startup_scripts:minecraft/constants.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:railways/constants.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:soulbind/constants.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:tacz/constants.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:tfc/constants.js in 0.003 s
[20:15:02] [INFO] Loaded script startup_scripts:tfg/constants.js in 0.001 s
[20:15:02] [INFO] Loaded script startup_scripts:vintage_improvements/constants.js in 0.0 s
[20:15:02] [INFO] Loaded script startup_scripts:wan_ancient_beasts/constants.js in 0.001 s
[20:15:02] [INFO] Loaded 128/128 KubeJS startup scripts in 2.969 s with 0 errors and 0 warnings
[20:15:02] [INFO] tfg/blocks.crops.js#20: Loaded Java class 'net.dries007.tfc.common.blockentities.FarmlandBlockEntity'
[20:15:22] [INFO] greate/materials.js#6: Loaded Java class 'electrolyte.greate.content.gtceu.material.BeltProperty'
[20:15:22] [INFO] greate/materials.js#7: Loaded Java class 'electrolyte.greate.registry.GreateMaterials'
[20:15:22] [INFO] greate/materials.js#8: Loaded Java class 'electrolyte.greate.content.gtceu.material.GreatePropertyKeys'
[20:15:22] [INFO] tfg/materials.js#6: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.properties.BlastProperty'
[20:15:23] [INFO] tfg/materials/material_modification.tfc.js#6: Loaded Java class 'su.terrafirmagreg.core.common.tfgt.material.property.TFCProperty'
[20:15:23] [INFO] tfg/materials/material_modification.flags.js#5: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.info.MaterialFlags'
[20:15:23] [INFO] tfg/materials/material_modification.ores.js#5: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.properties.OreProperty'
[20:15:23] [INFO] tfg/materials/material_modification.properties.js#5: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.properties.DustProperty'
[20:15:23] [INFO] tfg/materials/material_modification.properties.js#6: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.properties.IngotProperty'
[20:15:23] [INFO] tfg/materials/material_modification.properties.js#8: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.properties.ItemPipeProperties'
[20:15:23] [INFO] tfg/materials/material_modification.properties.js#9: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.properties.FluidPipeProperties'
[20:15:23] [INFO] tfg/materials/material_modification.properties.js#10: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.properties.HazardProperty'
[20:15:23] [INFO] tfg/materials/material_modification.properties.js#11: Loaded Java class 'su.terrafirmagreg.core.common.data.tfgt.TFGMedicalConditions'
[20:15:23] [INFO] tfg/materials/material_modification.tools.js#5: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.properties.RotorProperty'
[20:15:23] [INFO] tfg/materials/material_modification.tools.js#18: Loaded Java class 'com.gregtechceu.gtceu.api.item.tool.GTToolType'
[20:15:23] [INFO] tfg/materials/material_modification.fluids.js#5: Loaded Java class 'com.gregtechceu.gtceu.api.data.chemical.material.properties.FluidProperty'
[20:15:23] [INFO] tfg/materials/material_modification.fluids.js#6: Loaded Java class 'com.gregtechceu.gtceu.api.fluids.store.FluidStorageKeys'
[20:15:23] [INFO] ae2/tag_prefixes.js#5: Loaded Java class 'appeng.core.definitions.AEBlocks'
[20:15:23] [INFO] ae2/tag_prefixes.js#6: Loaded Java class 'appeng.core.definitions.AEItems'
[20:15:23] [INFO] gtceu/tag_prefixes.js#6: Loaded Java class 'net.minecraft.tags.TagKey'
[20:15:23] [INFO] gtceu/tag_prefixes.js#7: Loaded Java class 'net.minecraftforge.registries.ForgeRegistries'
[20:15:23] [INFO] gtceu/tag_prefixes.js#8: Loaded Java class 'net.minecraft.resources.ResourceLocation'
[20:15:24] [INFO] gtceu/recipe_types.js#2: Loaded Java class 'com.gregtechceu.gtceu.api.capability.recipe.IO'
[20:15:25] [INFO] gtceu/machines.js#5: Loaded Java class 'com.gregtechceu.gtceu.api.machine.multiblock.CoilWorkableElectricMultiblockMachine'
[20:15:25] [INFO] gtceu/machines.js#6: Loaded Java class 'dev.latvian.mods.kubejs.util.Tags'
[20:15:25] [INFO] tfg/nuclear/machine.js#5: Loaded Java class 'fi.dea.mc.deafission.core.c2.fr.FrComponents'
[20:15:25] [INFO] tfg/nuclear/machine.js#6: Loaded Java class 'fi.dea.mc.deafission.core.ReactorBaseStats'
[20:15:47] [INFO] tfg/worldgen/fauna.js#5: Loaded Java class 'net.minecraft.world.entity.SpawnPlacements'
[20:17:43] [INFO] tfg/worldgen/register_climates.js#53: Initializing MARS_CLIMATE_CONTROLLER...
